Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,LnP2O5_TiO2,LnCaO_TiO2,LnCu_TiO2,LnZn_TiO2,LnSr_TiO2,LnP_Ti,LnCa_Ti,LnCu_Ti,LnZn_Ti,LnSr_Ti,LnP_Ti_CS,LnCa_Ti_CS,LnCu_Ti_CS,LnZn_Ti_CS,LnSr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,13,1286,Unit 12,ARD GZ 5,Guano,1.675927654,1.957284942,-3.381789225,-3.716604002,-2.603373513,1.358694964,2.133369397,6.340487567,6.005672789,7.118903279,-4.707222911,0.491659501,-2.230098402,-1.841705278,0.417571288,3
ARD,15,1609,Unit 12,ARD GZ 5,Guano,1.21664897,1.766031789,-3.940992262,-3.75983119,-2.945638328,0.899416281,1.942116244,5.781284529,5.962445601,6.776638463,-3.071817055,1.646561153,0.395184938,0.762098306,2.316081582,3
ARD,17,1783,Unit 12,ARD GZ 5,Guano,2.551010737,2.606954084,-2.452831802,-2.517861321,-1.776491997,2.233778048,2.783038539,7.269444989,7.20441547,7.945784794,-3.279602743,1.83142422,0.526093096,0.780840267,2.445307614,3
ARD,19,1958,Unit 12,ARD GZ 5,Guano,2.059594587,2.076778424,-2.906585241,-3.082099113,-2.285009948,1.742361898,2.252862879,6.81569155,6.640177678,7.437266843,-2.322257859,2.247182204,0.872216702,1.344017033,3.052161706,3
ARD,21,2084,Unit 12,ARD GZ 5,Guano,2.249910992,2.267003195,-2.683446323,-2.846408634,-2.106008569,1.932678302,2.44308765,7.038830468,6.875868157,7.616268222,-2.958853643,2.178566197,0.905137531,1.301394917,2.949604037,3
ARD,23,2163,Unit 12,ARD GZ 5,Guano,,,,,,,,,,,-3.286251227,0.926100812,0.131972104,0.150664237,2.151300933,3
ARD,25,2243,Unit 12,ARD GZ 5,Guano,1.940631586,2.1535673,-3.17746266,-3.021969904,-2.356818331,1.623398897,2.329651755,6.544814132,6.700306888,7.365458461,-2.262485381,2.161287676,1.024967044,1.264724834,2.855300733,3
ARD,27,2303,Unit 12,ARD GZ 5,Guano,1.419333706,1.871551582,-3.772997427,-3.756244986,-2.899534126,1.102101017,2.047636037,5.949279365,5.966031806,6.822742666,-3.230913176,1.236996523,-0.456605748,-0.175960396,1.71184265,3
ARD,29,2363,Unit 12,ARD GZ 5,Guano,1.214085433,1.776618093,-3.877091084,-4.076472437,-3.022311911,0.896852744,1.952702548,5.845185707,5.645804354,6.69996488,-3.450943295,1.382274063,-0.305545427,-0.016567514,1.891563883,3
ARD,31,2424,Unit 12,ARD GZ 5,Guano,1.235063391,1.764271886,-3.908359391,-3.875997183,-3.015056546,0.917830702,1.940356341,5.813917401,5.846279608,6.707220245,-3.934916825,1.085379255,-0.644945079,-0.440538057,1.607927857,3
ARD,33,2487,Unit 12,ARD GZ 5,Guano,1.341547874,1.803307872,-3.877243996,-3.825889918,-2.99897903,1.024315185,1.979392327,5.845032795,5.896386874,6.723297762,-3.551507945,1.283708741,-0.446155946,-0.206321859,1.726606714,3
ARD,35,2549,Unit  11,ARD GZ 0,Non Guano,0.843595335,1.617434401,-4.381758609,-4.397307831,-3.246919273,0.526362645,1.793518856,5.340518183,5.324968961,6.475357519,-4.227497095,1.020363947,-1.10493195,-0.547750125,1.397504502,2
ARD,37,2606,Unit  11,ARD GZ 0,Non Guano,0.757095905,1.586719989,-4.361082818,-4.563809253,-3.284313222,0.439863216,1.762804444,5.361193974,5.158467538,6.437963569,-4.213230221,0.796269677,-1.344364668,-1.185051354,1.113819331,2
ARD,39,2663,Unit  11,ARD GZ 0,Non Guano,0.692292114,1.623020464,-4.309028326,-4.279747786,-3.271519558,0.375059425,1.799104919,5.413248465,5.442529006,6.450757233,-4.144689695,0.757821646,-1.404482382,-1.207500877,1.132824544,2
ARD,41,2706,Unit  11,ARD GZ 0,Non Guano,0.816289378,1.623380818,-4.233391851,-4.222319768,-3.240161611,0.499056689,1.799465273,5.48888494,5.499957024,6.482115181,-4.197703075,1.07267196,-0.657710402,-0.546756275,1.478213238,2
ARD,43,2736,Unit  11,ARD GZ 0,Non Guano,1.52399857,1.908650046,-3.638849919,-3.644388907,-2.832321681,1.20676588,2.084734501,6.083426873,6.077887884,6.88995511,-3.100092289,1.409602998,-0.390474689,-0.197378705,1.669495024,2
ARD,45,2766,Unit  11,ARD GZ 0,Non Guano,1.24289609,1.778208736,-3.868568856,-3.928480718,-2.988882932,0.925663401,1.954293191,5.853707936,5.793796074,6.73339386,-3.411432886,1.389953646,-0.342518995,-0.093438206,1.89291564,2
ARD,47,2789,Unit  11,ARD GZ 0,Non Guano,1.909542505,2.217427285,-3.297596091,-3.203685659,-2.47112451,1.592309815,2.39351174,6.4246807,6.518591132,7.251152281,-3.808424605,0.963872923,-1.004583339,-0.731917291,1.557699745,2
ARD,49,2811,Unit  11,ARD GZ 0,Non Guano,1.296828995,1.824707407,-3.950705899,-3.911206346,-2.982745078,0.979596306,2.000791862,5.771570893,5.811070446,6.739531713,-3.50758678,1.619610762,0.041015894,0.271576876,2.058622532,2
ARD,51,2830,Unit  11,ARD GZ 0,Non Guano,0.680895879,1.662783893,-4.561232672,-4.479469986,-3.247046702,0.363663189,1.838868348,5.161044119,5.242806805,6.47523009,-4.182788604,0.990806382,-1.265890092,-0.857520538,1.472526235,2
ARD,53,2846,Unit  11,ARD GZ 0,Non Guano,0.567595518,1.644504117,-4.677128378,-4.523392193,-3.308738379,0.250362829,1.820588572,5.045148413,5.198884599,6.413538412,-3.955082495,0.859074362,-1.76103757,-1.037311763,1.348222413,2
ARD,55,2862,Unit  11,ARD GZ 0,Non Guano,-0.54674631,1.47805304,-5.782532063,-5.170372581,-3.715412199,-0.863978999,1.654137496,3.939744729,4.551904211,6.006864593,-4.772941962,0.775095971,-1.882570204,-1.277445012,1.112235715,2
ARD,57,2876,Unit  11,ARD GZ 0,Non Guano,0.804043557,1.726612649,-4.416452239,-4.3031273,-3.144684085,0.486810867,1.902697104,5.305824553,5.419149491,6.577592706,-4.554984311,0.840316475,-1.55531244,-1.203235205,1.143521106,2
ARD,59,2890,Unit  11,ARD GZ 0,Non Guano,0.237759345,1.587705085,-5.032540082,-4.741030953,-3.404460027,-0.079473344,1.76378954,4.689736709,4.981245838,6.317816764,-5.678464667,0.866782361,-1.421839299,-1.194655338,1.145443056,2
ARD,61.3,2907,Unit  11,ARD GZ 0,Non Guano,1.620992271,2.009578028,-3.612394006,-3.449191237,-2.553765644,1.303759582,2.185662483,6.109882785,6.273085555,7.168511148,,0.983749705,-0.668032852,-0.510486583,2.416222552,2
ARD,64.5,2930,Unit  11,ARD GZ 0,Non Guano,,,,,,,,,,,-2.807547407,1.972997183,0.836495595,1.173427443,3.207596106,2
ARD,67.6,2953,Unit 10,ARD GZ 4,Guano,2.709236121,2.840232248,-2.292067994,-2.188043551,-1.582301371,2.392003432,3.016316703,7.430208797,7.53423324,8.13997542,-2.446879254,1.893041913,0.861591672,1.119073361,3.354472267,4
ARD,70.8,2977,Unit 10,ARD GZ 4,Guano,2.708585963,2.810835055,-2.229221461,-2.210495528,-1.609437912,2.391353274,2.98691951,7.49305533,7.511781264,8.112838879,-2.559707863,2.192961248,0.882699787,1.10857253,2.95809589,4
ARD,74,3001,Unit 10,ARD GZ 4,Guano,2.595768438,2.736336993,-2.390124299,-2.277854312,-1.672412712,2.278535748,2.912421448,7.332152493,7.44442248,8.04986408,-2.938491006,2.051270665,0.750388448,0.951027133,2.846719998,4
ARD,77.1,3027,Unit 10,ARD GZ 4,Guano,2.458480974,2.631962141,-2.482291619,-2.364119881,-1.810270355,2.141248284,2.808046596,7.239985172,7.35815691,7.912006437,-1.394878105,2.266470661,1.372308119,1.926180779,4.509167459,4
ARD,80.3,3054,Unit 10,ARD GZ 4,Guano,2.807635983,2.905774016,-2.213494263,-2.037734079,-1.520653548,2.490403294,3.081858471,7.508782529,7.684542712,8.201623243,-4.03044076,2.121683847,1.07637014,1.662328915,4.04073315,4
ARD,83.5,3081,Unit 10,ARD GZ 4,Guano,2.841120126,2.963201933,-2.155855237,-1.908721043,-1.513027363,2.523887437,3.139286388,7.566421554,7.813555748,8.209249428,-2.251291799,2.611101252,2.328560579,3.074154235,6.012813965,4
ARD,86.6,3108,Unit 10,ARD GZ 4,Guano,2.561354656,2.741498135,-2.456223376,-2.413467793,-1.771271088,2.244121966,2.91758259,7.266053415,7.308808999,7.951005703,-2.208732184,2.320950874,1.165008351,1.575930823,3.735050959,4
ARD,89.8,3136,Unit 10,ARD GZ 4,Guano,2.654718739,2.839459577,-2.328201305,-2.242428176,-1.716743438,2.33748605,3.015544032,7.394075486,7.479848615,8.005533353,-4.389689507,1.85879963,0.617349584,0.842652409,3.048150889,4
ARD,92.9,3163,Unit 10,ARD GZ 4,Guano,2.712462223,2.895648815,-2.198983803,-2.045993608,-1.6405285,2.395229533,3.07173327,7.523292989,7.676283184,8.081748292,-3.507807117,1.744793483,0.677577156,0.784790448,3.05304673,4
ARD,96.1,3191,Unit 10,ARD GZ 4,Guano,3.100488211,3.250459674,-1.861162948,-1.763588592,-1.219476991,2.783255521,3.42654413,7.861113843,7.958688199,8.502799801,-2.089949519,2.774003227,1.49278664,1.738385645,3.820045246,4
ARD,99.3,3219,Unit 10,ARD GZ 4,Guano,2.800451887,2.896980373,-2.196322457,-2.16589414,-1.548068966,2.483219197,3.073064828,7.525954334,7.556382651,8.174207825,-2.327277706,2.553944687,1.283358636,1.424674352,3.345221912,4
ARD,102.4,3246,Unit 10,ARD GZ 4,Guano,2.715492725,2.819841607,-2.215410845,-2.214866552,-1.600984777,2.398260036,2.995926062,7.506865946,7.507410239,8.121292015,-2.450301121,2.323836546,1.068830457,1.308998757,3.082079551,4
ARD,105.6,3274,Unit 10,ARD GZ 4,Guano,2.598329457,2.841330558,-2.436678654,-2.38413496,-1.71664082,2.281096768,3.017415013,7.285598137,7.338141831,8.005635971,-2.982964545,2.215862275,0.941222978,1.119308701,2.970240022,4
ARD,108.7,3301,Unit 10,ARD GZ 4,Guano,2.496262104,2.74838361,-2.549228467,-2.419012196,-1.768689777,2.179029414,2.924468065,7.173048325,7.303264595,7.953587015,-2.827442248,2.126392625,0.522843155,0.807279401,2.807541436,4
ARD,111.9,3329,Unit 9,ARD GZ 4,Guano,1.972804702,2.412628504,-3.199896424,-3.080890082,-2.250883719,1.655572012,2.588712959,6.522380367,6.64138671,7.471393073,-3.834511813,1.577970942,0.157169211,0.443021985,2.184284138,4
ARD,115.1,3357,Unit 9,ARD GZ 4,Guano,1.731230938,2.283962581,-3.377622615,-3.324851536,-2.456889536,1.413998248,2.460047036,6.344654177,6.397425256,7.265387255,-3.109837055,1.663276452,-0.30410794,-0.016031624,2.157303679,4
ARD,118.2,3385,Unit 9,ARD GZ 4,Guano,1.635174958,2.223908817,-3.489763009,-3.427988822,-2.509453421,1.317942268,2.399993272,6.232513782,6.294287969,7.212823371,-3.952326556,1.220475493,-1.123264318,-0.903788048,1.468270762,4
ARD,121.4,3416,Unit 9,ARD GZ 4,Guano,1.416473778,2.088503378,-3.595898065,-3.560690906,-2.638169624,1.099241089,2.264587834,6.126378726,6.161585886,7.084107167,-4.0279937,1.310434297,-0.323496106,-0.023357752,2.053125333,4
ARD,124.5,3451,Unit 9,ARD GZ 4,Guano,1.301090486,2.051270665,-3.796304912,-3.557007813,-2.714288525,0.983857796,2.22735512,5.92597188,6.165268979,7.007988267,-4.256477238,1.36938764,-0.477846262,-0.447108387,2.016859856,4
ARD,127.7,3486,Unit 9,ARD GZ 4,Guano,1.258648801,2.035083689,-3.803143513,-3.626409186,-2.757170998,0.941416111,2.211168144,5.919133278,6.095867605,6.965105793,-3.547279887,1.461583004,-0.538353786,-0.261329696,2.025527449,4
ARD,130.9,3520,Unit 9,ARD GZ 4,Guano,1.212159473,2.003397877,-3.900014419,-3.738787561,-2.823840013,0.894926784,2.179482332,5.822262373,5.98348923,6.898436778,-4.251238728,1.320476483,-0.628951184,-0.112999972,2.224490259,4
ARD,134,3554,Unit 9,ARD GZ 4,Guano,1.334910162,2.084394712,-3.724491822,-3.588713755,-2.63320231,1.017677472,2.260479167,5.99778497,6.133563036,7.089074481,-3.673049694,1.349058002,-1.078943752,-0.555553714,1.73394959,4
ARD,137.2,3588,Unit 9,ARD GZ 4,Guano,1.133041008,1.990888144,-3.851330458,-3.719863,-2.814824145,0.815808319,2.166972599,5.870946334,6.002413792,6.907452647,-3.47609869,1.33591081,-0.803063007,-0.30704582,1.667198443,4
ARD,140.4,3623,Unit 9,ARD GZ 4,Guano,1.445037009,2.122999516,-3.540581925,-3.508081127,-2.697150911,1.127804319,2.299083971,6.181694867,6.214195665,7.025125881,-3.341200073,1.618775841,-0.120879509,-0.068840583,2.097141119,4
ARD,143.5,3657,Unit 9,ARD GZ 4,Guano,1.66077081,2.291634262,-3.41284846,-3.43646552,-2.416785445,1.34353812,2.467718717,6.309428331,6.285811271,7.305491346,-4.742661121,1.591853361,-0.204002415,0.137171973,2.023029567,4
ARD,146.7,3696,Unit 9,ARD GZ 4,Guano,1.222321943,2.06284365,-3.884369625,-3.848256387,-2.774401063,0.905089253,2.238928105,5.837907167,5.874020404,6.947875728,-3.737297525,1.552152518,-0.641295799,-0.345519366,1.84866285,4
ARD,149.8,3736,Unit 9,ARD GZ 4,Guano,1.132777102,2.035232102,-3.964403288,-3.94087116,-2.864177557,0.815544413,2.211316557,5.757873504,5.781405632,6.858099235,-3.226423031,1.464438217,-0.805381728,-0.639000817,1.613998924,4
ARD,151,3751,Unit 9,ARD GZ 4,Guano,0.870505308,1.945689666,-4.101152247,-4.176318145,-3.030272599,0.553272619,2.121774121,5.621124544,5.545958646,6.692004193,-5.162333991,1.21232571,-1.104357073,-0.897644063,1.662660605,4
ARD,153,3777,Unit 9,ARD GZ 4,Guano,1.228462482,2.070457882,-3.87743648,-3.837499146,-2.762325431,0.911229793,2.246542337,5.844840311,5.884777645,6.959951361,-3.803571297,0.955630514,-1.691676011,-1.229052489,1.181936104,4
ARD,155,3802,Unit 9,ARD GZ 4,Guano,-0.046812599,1.721058655,-4.844034748,-4.78817457,-3.456630723,-0.364045288,1.89714311,4.878242043,4.934102222,6.265646068,-4.787789318,0.867827798,-1.883624238,-1.69350537,1.025594667,4
ARD,157,3833,Unit 9,ARD GZ 4,Guano,-0.607833597,1.605613816,-5.167023963,-5.037716253,-3.651421892,-0.925066286,1.781698271,4.555252828,4.684560539,6.0708549,-4.961572365,0.708778666,-2.24747985,-1.880914221,0.98122701,4
ARD,159,3864,Unit 8,ARD GZ 0,Non Guano,-1.107932021,1.555439403,-5.295891376,-5.202276583,-3.735075583,-1.42516471,1.731523858,4.426385416,4.520000209,5.987201208,-5.364105107,0.790646824,-2.642809679,-2.077570634,0.766033835,2
ARD,161,3898,Unit 8,ARD GZ 0,Non Guano,-1.376922221,1.631171149,-5.460909205,-5.245142604,-3.707251843,-1.694154911,1.807255604,4.261367586,4.477134187,6.015024949,-4.283141524,0.787789432,-3.003104138,-2.120560338,0.637074834,2
ARD,163,3936,Unit 8,ARD GZ 0,Non Guano,-1.1589928,1.68707388,-5.497496944,-5.245072852,-3.694101398,-1.476225489,1.863158335,4.224779847,4.477203939,6.028175393,-5.570631962,0.812114249,-3.263059327,-2.135033153,0.478157652,2
ARD,165,3974,Unit 8,ARD GZ 0,Non Guano,-1.462346724,1.599285541,-5.574788618,-5.313584839,-3.738048478,-1.779579414,1.775369996,4.147488173,4.408691953,5.984228314,-5.358847866,0.661689928,-2.880630205,-2.052694033,0.463961315,2
ARD,167,4012,Unit 8,ARD GZ 0,Non Guano,-0.742112185,1.32408413,-5.367149254,-5.175625395,-3.98828499,-1.059344875,1.500168585,4.355127538,4.546651397,5.733991801,-5.263984687,0.753304236,-2.943700017,-2.171320174,0.472933172,2
ARD,169,4051,Unit 8,ARD GZ 0,Non Guano,-1.590090271,1.526746197,-5.447380944,-5.29709711,-3.817712326,-1.907322961,1.702830652,4.274895848,4.425179681,5.904564465,-4.596771378,0.800156501,-2.481611754,-2.144200109,0.520351069,2
ARD,171,4089,Unit 8,ARD GZ 0,Non Guano,-1.561564488,1.556542499,-5.530132536,-5.305168841,-3.781833628,-1.878797177,1.732626954,4.192144255,4.41710795,5.940443163,-5.674182005,0.685968399,-2.492661967,-2.076869744,0.530207393,2
ARD,173,4127,Unit 8,ARD GZ 0,Non Guano,-1.505325058,1.566119038,-5.44001112,-5.264000274,-3.774757943,-1.822557747,1.742203493,4.282265672,4.458276518,5.947518848,-5.009095648,1.359882886,-0.432799883,-0.207599857,1.814859875,2
ARD,175,4165,Unit 8,ARD GZ 0,Non Guano,0.662184955,1.885938624,-4.312032705,-4.24921286,-3.230782875,0.344952265,2.062023079,5.410244087,5.473063932,6.491493916,-3.338139246,2.255332208,1.030253198,1.31661444,3.890430612,2
ARD,177,4204,Unit 8,ARD GZ 0,Non Guano,2.103021361,2.547753656,-3.035966251,-2.931061206,-2.198922731,1.785788671,2.723838111,6.68631054,6.791215586,7.52335406,-3.056356895,2.233592222,1.157620842,1.43040506,3.65370935,2
ARD,179,4242,Unit 7,ARD GZ 3,Guano,2.441469567,2.680784637,-2.401963198,-2.464934517,-1.88851161,2.124236878,2.856869092,7.320313593,7.257342275,7.833765181,-3.112691925,1.502245223,0.884148695,0.804502869,2.648194092,5
ARD,181,4280,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,-3.177392236,1.450843223,0.763727144,0.654693876,1.856360033,5
ARD,183,4319,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,-4.335781307,1.339918199,-0.11570815,0.049605062,2.106207508,5
ARD,185,4357,Unit 7,ARD GZ 3,Guano,,,,,,,,,,,-2.431253936,1.568725273,0.896141588,0.904674973,2.937438431,5
ARD,187,4382,Unit 7,ARD GZ 3,Guano,2.339692881,2.440489532,-2.387486167,-2.497176742,-1.983023329,2.022460192,2.616573987,7.334790624,7.225100049,7.739253463,-4.080921542,1.511556863,1.054582734,0.889585961,2.485258502,5
ARD,189,4407,Unit 7,ARD GZ 3,Guano,2.299251492,2.5448785,-2.436218157,-2.731297741,-2.084207238,1.982018802,2.720962955,7.286058634,6.99097905,7.638069554,-3.405631979,1.74449469,-0.09265883,0.083983198,2.165101527,5
ARD,191,4430,Unit 7,ARD GZ 3,Guano,0.904660866,2.104515179,-4.252556701,-4.086562422,-3.006730028,0.587428177,2.280599634,5.46972009,5.63571437,6.715546764,-3.93790732,1.387051978,-0.761707058,-0.459748897,1.875758759,5
ARD,193,4450,Unit 6,ARD GZ 0,Non Guano,1.125966292,2.189988253,-3.978125083,-3.880898462,-2.882581878,0.808733602,2.366072708,5.744151709,5.84137833,6.839694913,-4.683219959,1.07512497,-1.577578706,-1.096438375,1.252374272,2
ARD,195,4470,Unit 6,ARD GZ 0,Non Guano,0.95436268,2.105225659,-4.157012119,-4.081078663,-2.993378408,0.63712999,2.281310114,5.565264672,5.641198128,6.728898383,-3.919140473,1.82979745,0.071605688,0.170032007,2.202098418,2
ARD,197,4491,Unit 6,ARD GZ 0,Non Guano,1.65389798,2.399890329,-3.53245786,-3.503696665,-2.490077589,1.336665291,2.575974784,6.189818931,6.218580126,7.232199202,-3.973976667,1.775554775,-0.173128147,-0.067184711,1.998781391,2
ARD,199,4511,Unit 6,ARD GZ 0,Non Guano,0.792565548,1.991743823,-4.287109083,-4.203485801,-3.089835635,0.475332859,2.167828278,5.435167709,5.518790991,6.632441157,-3.515332844,1.940422771,0.007532047,0.339132865,2.357930148,2
ARD,201,4531,Unit 6,ARD GZ 0,Non Guano,1.073205517,2.111740529,-3.935135838,-3.956220051,-2.937418047,0.755972827,2.287824984,5.787140953,5.76605674,6.784858744,-4.172847624,1.27285473,-1.230516127,-0.875530373,1.446465694,2
ARD,204,4560,Unit 6,ARD GZ 0,Non Guano,1.381242181,2.277739094,-3.852540855,-3.781563812,-2.716853075,1.064009492,2.453823549,5.869735936,5.94071298,7.005423717,-5.155282834,0.857335692,-1.951695701,-1.370309808,1.037361684,2
ARD,206,4580,Unit 6,ARD GZ 0,Non Guano,1.593359524,2.362577004,-3.611978702,-3.612980971,-2.564322314,1.276126835,2.538661459,6.11029809,6.10929582,7.157954478,-4.074857675,1.377610372,-0.987810432,-0.828298421,1.579046325,2
ARD,208,4600,Unit 6,ARD GZ 0,Non Guano,0.223548601,1.778619271,-4.723433902,-4.633244608,-3.386451806,-0.093684089,1.954703726,4.99884289,5.089032184,6.335824985,-2.931073625,1.92692136,-0.013059436,0.016206265,2.256714737,2
ARD,210,4621,Unit 6,ARD GZ 0,Non Guano,0.987996354,2.047040446,-4.167172425,-4.050230946,-2.980299869,0.670763664,2.223124901,5.555104366,5.672045846,6.741976923,-4.41669641,1.097807028,-1.450278524,-1.213047032,1.307542074,2
ARD,212,4641,Unit 6,ARD GZ 0,Non Guano,1.087290892,2.12453775,-4.114352664,-3.961843354,-2.892515735,0.770058202,2.300622205,5.607924127,5.760433437,6.829761056,-5.58631189,1.022363271,-1.638680457,-1.169732874,1.238469306,2
ARD,214,4661,Unit 6,ARD GZ 0,Non Guano,1.128633305,2.171964911,-3.947482149,-3.983935587,-2.878039945,0.811400615,2.348049366,5.774794642,5.738341204,6.844236846,-5.028880531,1.216949341,-1.031991305,-0.79823065,1.564685719,2
