Sample_code,Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeOT,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,TC,TN,Location,Location1,Location2,Reference
AR-5,ARD Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,ARD Bedrock,ARD Bedrock,Non Guano,51.73,0.8,18.15,9.06,5.35,0.16,9.92,2.91,0.52,0.16,1.29,NA,NA,Ardley Island,Ardley Island,SSI,Machado et al. (2005)
AR-1,ARD Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,ARD Bedrock,ARD Bedrock,Non Guano,53.78,0.98,17.14,9.78,4.89,0.15,7.53,3.03,0.77,0.22,1.75,NA,NA,Ardley Island,Ardley Island,SSI,Machado et al. (2005)
AR-6,ARD Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,ARD Bedrock,ARD Bedrock,Non Guano,55.72,0.91,17.05,8.34,4.14,0.14,7.55,3.13,0.92,0.21,1.53,NA,NA,Ardley Island,Ardley Island,SSI,Machado et al. (2005)
KG-10,ARD Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,ARD Bedrock,ARD Bedrock,Non Guano,46.91,0.62,23.15,7.83,4.61,0.16,11,2.66,0.51,0.09,2.54,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-12,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,49.8,0.75,18.68,9.04,5.85,0.17,11.7,2.46,0.58,0.22,0.88,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-1,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,50.19,0.84,19.89,9.64,4.31,0.18,9.97,3.31,0.57,0.13,1.01,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-11,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,50.34,0.45,20.56,7.59,6.15,0.12,10.9,2.16,0.79,0.09,1.78,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-15,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,50.5,0.84,19.7,10.28,4.33,0.17,9.78,3.14,0.48,0.13,0.67,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-6,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,50.98,0.78,19.05,9.06,5.08,0.15,10.73,2.9,0.3,0.16,0.8,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-5,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,52.03,1.06,18.73,9.2,3.91,0.2,8.1,3.58,1.34,0.26,1.26,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-14,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,52.14,0.85,17.96,10.05,3.73,0.18,7.79,3.58,1.34,0.26,1.26,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-7,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,52.3,0.84,18.85,9.03,4.75,0.11,7.76,3.89,0.92,0.19,0.95,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-13,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,52.64,0.71,20.64,7.96,4.25,0.14,10.39,1.84,0.4,0.12,0.11,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-2,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,53.22,0.88,17.18,8.22,4.68,0.14,8.35,3.18,1.03,0.14,2.62,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-9b,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,54.16,0.78,19.08,8.03,3.7,0.2,8.48,3.14,0.91,0.21,1.29,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-9a,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,54.98,0.78,18.57,7.99,3.72,0.15,8.49,3.51,0.8,0.2,1.1,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-8,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,55.39,0.7,19.19,8.81,2.9,0.16,7.34,4.06,0.92,0.22,0.36,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-3,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,57.16,0.96,17.34,8.03,3.13,0.29,7.15,4.3,0.81,0.27,0.47,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
KG-4,FP Bedrock,NA,NA,NA,NA,NA,NA,Bedrock,FP Bedrock,FP Bedrock,Non Guano,60.92,0.97,16.81,6.58,2.85,0.16,5.25,3.46,1.02,0.31,0.81,NA,NA,Fildes Peninsula,King George Island,SSI,Machado et al. (2005)
1-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,5.233327036,3.692245107,0.497512438,0.047772757,21.72939695,1.253538213,0.469766321,19.04216315,NA,9.57,1.63,Stranger Point,King George Island,SSI,Tatur et al. (1997)
2-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,4.931040998,3.473540693,0.48092869,0.040025823,23.08660977,1.280496024,0.469766321,18.58386801,NA,11.1,1.92,Stranger Point,King George Island,SSI,Tatur et al. (1997)
3-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,5.611184583,4.798632143,0.580431177,0.049063912,21.29564852,1.199622591,0.43363045,16.17781852,NA,9.07,1.46,Stranger Point,King George Island,SSI,Tatur et al. (1997)
4a-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,4.269790289,3.537865521,0.597014925,0.104583602,27.1722401,0.78177652,0.325222838,20.60036664,NA,11.58,1.84,Stranger Point,King George Island,SSI,Tatur et al. (1997)
4b-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,7.991687134,5.69917973,0.56384743,0.047772757,13.0824122,0.903086669,0.734762708,12.32813932,NA,7,1.13,Stranger Point,King George Island,SSI,Tatur et al. (1997)
5-g,SP Ornithogenic Soils,NA,NA,NA,NA,NA,NA,Ornithogenic Soil,SP Ornithogenic Soils,SP Ornithogenic Soils,Guano,NA,NA,4.647647837,3.589325383,0.646766169,0.096836669,28.02574507,0.849171047,0.277041677,21.08157654,NA,7.07,0.98,Stranger Point,King George Island,SSI,Tatur et al. (1997)