Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Location,Location1,Location2,Reference
YAN,YAN 9B-I,180,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.08,1.536,17.06,8.73,0.156,4.4,8.43,4.08,0.66,0.245,0.103,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,181,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.03,1.562,16.91,8.89,0.159,4.43,8.25,4.07,0.68,0.257,0.112,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,182,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.54,1.547,17.14,8.8,0.155,4.35,8.35,4.21,0.67,0.25,0.105,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,183,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.07,1.554,16.95,8.88,0.156,4.43,8.28,4.09,0.66,0.256,0.114,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,184,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,53.65,1.615,16.77,9.06,0.16,4.37,8.1,4.45,0.66,0.25,0.086,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,186,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.75,1.65,16.64,9.37,0.162,4.58,8.15,4.19,0.65,0.252,0.101,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,188,5197.91,5579.23,5443.92,5417.97,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.56,1.587,16.75,9.08,0.161,4.5,8.14,4.08,0.67,0.249,0.112,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,190,5279.74,5593.11,5475.97,5450.91,Freshwater,Unit Y6,YAN GZ 0,Non Guano,52.57,1.349,17.78,8.86,0.126,4.7,5.79,3.66,0.75,0.218,0.302,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,192,5359.76,5650.78,5532.83,5516.81,Freshwater,Unit Y5,YAN GZ 0,Non Guano,50.23,0.934,18.68,7.79,0.065,3.92,2.2,2.31,1.09,0.162,0.989,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,194,5389.35,5767.32,5587.29,5582.7,Freshwater,Unit Y5,YAN GZ 0,Non Guano,50.63,0.98,18.29,7.79,0.065,3.98,2.48,2.37,1.02,0.16,0.905,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,196,5464.27,5793.14,5630,5629.66,Freshwater,Unit Y5,YAN GZ 0,Non Guano,50.04,0.957,18.02,8.19,0.065,3.97,2.24,2.28,1.01,0.17,1.277,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,198,5517.58,5833.22,5674,5676.62,Freshwater,Unit Y5,YAN GZ 0,Non Guano,46.96,0.893,18.7,8.02,0.066,4.23,1.98,1.98,1.11,0.175,1.135,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,200,5579.9,5877.51,5719.16,5724.82,Freshwater,Unit Y5,YAN GZ 0,Non Guano,48.75,1.031,18.72,8.99,0.073,4.22,2.91,2.28,0.99,0.185,1.449,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,202,5628.69,5921.56,5764.81,5774.27,Freshwater,Unit Y5,YAN GZ 0,Non Guano,52.37,1.142,18.61,9.95,0.089,4.98,3.44,2.82,0.62,0.193,0.727,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,204,5654.35,6019.28,5817.26,5823.72,Freshwater,Unit Y5,YAN GZ 0,Non Guano,52.41,1.535,18.46,9.14,0.123,4.61,5.65,3.51,0.76,0.27,0.311,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,206,5694.37,6073.04,5866.41,5871.08,Freshwater,Unit Y5,YAN GZ 0,Non Guano,50.22,0.978,19.93,8.65,0.081,4.6,2.06,2.36,1.03,0.172,0.537,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,208,5717.51,6159.8,5914.21,5918.44,Freshwater,Unit Y5,YAN GZ 0,Non Guano,48.49,1.021,19.98,9.86,0.074,4.32,2.01,2.25,1.23,0.19,1.552,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,210,5750.97,6229.91,5958.82,5965.48,Freshwater,Unit Y5,YAN GZ 0,Non Guano,48.9,0.796,18.38,9.5,0.094,4.3,3.52,2.49,1.04,0.201,2.333,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,214,5806.22,6365.52,6051.71,6058.88,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,49.08,0.878,17.33,8.79,0.147,4.48,7.03,2.3,0.95,0.197,0.742,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,216,5857.15,6400.61,6099.54,6106.89,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.72,0.871,17.31,8.69,0.15,4.33,7.37,2.28,0.98,0.196,0.892,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,218,5886,6455.75,6146.38,6154.9,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,47.93,0.876,16.88,8.69,0.143,4.09,7.07,2.14,0.97,0.19,0.868,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,220,5927.28,6509.19,6194.72,6202.81,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.13,0.87,16.96,8.34,0.136,3.96,6.61,2.21,0.97,0.196,0.974,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,222,5968.22,6554.43,6247.95,6250.62,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,47.79,0.884,16.69,8.34,0.132,3.93,6.43,2.23,0.96,0.197,1.273,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,224,5994.98,6613.63,6297.31,6298.43,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.08,0.845,16.63,8.14,0.138,3.91,6.92,2.31,0.99,0.191,0.931,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,226,6051.38,6647.42,6345.74,6345.06,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.07,0.882,17.08,8.23,0.135,3.89,6.6,2.35,1.01,0.198,1.048,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,228,6088.9,6696.3,6392.46,6391.7,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.9,0.836,17.4,8.29,0.129,3.9,6.29,2.32,0.98,0.175,0.94,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,230,6136.89,6742.77,6438.91,6438.03,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,49.31,0.866,17.76,8.35,0.129,3.89,5.83,2.47,1.09,0.192,1.051,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,232,6187.74,6777.71,6485.58,6484.04,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.84,0.863,17.58,8.28,0.131,3.93,6.05,2.39,1.04,0.186,1.03,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,234,6225.32,6828.79,6533.73,6530.05,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,49.17,0.843,18.39,8.29,0.121,3.96,5.21,2.39,1.11,0.184,1.051,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,238,6329.23,6898.68,6627.23,6623.47,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,48.78,0.858,18.59,8.58,0.128,3.95,5.15,2.49,1.11,0.183,1.274,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,239,6348.24,6923.21,6650,6646.82,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,44.12,0.929,15.64,9.11,0.174,4.13,9.72,0.62,1.01,0.221,0.092,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,242,6441.66,6968.65,6718.86,6716.92,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,52.28,0.814,16.44,7.85,0.107,3.58,4.28,2.24,1.06,0.186,1.816,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,243,6461.06,6993.69,6742.62,6740.29,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,51.78,0.818,17.06,7.99,0.105,3.53,3.8,2.26,1.18,0.183,2.162,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,244,6481.58,7025.2,6766.06,6763.65,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,51.79,0.87,17.31,8.19,0.106,3.58,3.78,2.37,1.17,0.186,2.11,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,245,6513.86,7036.41,6786.12,6785.3,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,51.1,0.965,18.24,8.55,0.114,3.67,3.2,2.56,1.28,0.195,1.949,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 9B-I,249,6613.59,7118.95,6874.1,6871.9,Brackish-Marine,Unit Y4,YAN GZ 0,Non Guano,54.44,1.635,15.75,9.18,0.184,3.67,5.55,4.37,1.1,0.262,0.574,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,250,6636.11,7132.82,6890.31,6889.13,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,54.15,1.549,15.97,9.06,0.167,3.61,5.22,4.16,1.1,0.242,0.947,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,251,6656.62,7150.5,6908.41,6906.36,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,53.98,1.661,15.4,9.46,0.188,3.78,5.71,4.3,1.08,0.278,0.653,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,252,6675.48,7170.43,6924.34,6923.58,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,54.09,1.616,15.67,9.36,0.182,3.73,5.98,4.3,1.04,0.27,0.779,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,253,6675.48,7170.43,6924.34,6923.58,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,54.37,1.66,15.42,9.53,0.192,3.69,5.89,4.44,1.08,0.277,0.748,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,255,6675.48,7170.43,6924.34,6923.58,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,52.91,1.695,15.87,9.7,0.187,3.84,6.77,4.3,0.89,0.276,0.609,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,257,6688.1,7192.28,6941.55,6940.81,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,54.12,1.679,15.41,9.35,0.188,3.64,6.29,4.46,1.03,0.28,0.549,0.08,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,259,6731.87,7236.82,6977.22,6980.11,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,55.45,1.62,15.86,9.52,0.191,4.01,5.6,4.73,1.13,0.274,0.738,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,261,6773.14,7289.84,7021.24,7024.25,Freshwater-Tephra,Unit Y3,YAN GZ 0,Non Guano,53.56,0.914,19.41,8.6,0.087,4.13,2.61,2.7,1.19,0.17,0.348,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,263,6802.71,7371.34,7063.25,7068.4,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,53.49,0.876,19.46,8.85,0.091,3.93,2.88,2.55,1.21,0.169,0.359,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,265,6859.64,7429.9,7121.53,7129.11,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,52.3,0.886,19.83,8.95,0.091,4.04,2.61,2.43,1.26,0.174,0.523,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,267,6898.09,7525.29,7182.21,7189.82,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,51.91,0.829,20.46,8.43,0.085,3.77,2.32,2.2,1.28,0.151,1.16,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,269,6946.92,7604.11,7243.76,7250.89,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,51.71,0.85,20.18,8.55,0.087,3.78,2.31,2.22,1.27,0.158,1.369,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,271,6999.45,7675.37,7305.99,7312.32,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,50.81,0.863,19.57,8.75,0.09,4.02,2.37,2.15,1.28,0.162,1.634,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,273,7034.79,7775.22,7364.63,7373.74,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,50.1,0.859,19.58,8.64,0.096,4.13,2.48,2.17,1.31,0.162,0.943,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,275,7098.12,7830.4,7426.29,7434.74,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,50.64,0.884,18.18,8.7,0.136,4.08,4.88,2.65,1.25,0.191,0.28,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,277,7138.94,7900.83,7488.36,7495.74,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,51.35,0.918,17.64,9.03,0.14,4.09,5.05,2.61,1.25,0.186,0.206,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,279,7197.41,7970.34,7546.79,7555.64,Freshwater-brackish,Unit Y2,YAN GZ 0,Non Guano,50.1,0.903,16.24,8.44,0.151,3.32,7.16,1.55,1.08,0.24,0.199,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,281,7252.88,8024.76,7608.12,7614.45,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,46.51,0.881,16.99,8.99,0.175,3.39,8.08,0.87,1.34,0.275,0.177,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,283,7289.3,8091,7665.69,7673.25,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.25,0.878,16.34,8.46,0.175,3.29,8.35,0.79,1.33,0.221,0.168,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,285,7363.34,8139.74,7725.88,7732.48,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,49.77,0.909,15.51,8.32,0.167,3.19,8.13,0.7,1.27,0.222,0.152,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,287,7412.93,8203.33,7789.09,7791.71,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,49.93,0.87,15,7.9,0.191,3.19,8.73,0.37,1.49,0.202,0.112,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,289,7482.66,8259.88,7850.24,7852.27,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,50.41,0.868,16.07,8.17,0.155,3.66,7.7,0.61,1.48,0.202,0.126,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,291,7555.32,8310.86,7910.57,7914.15,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.69,0.896,16.08,8.29,0.164,3.86,8.54,0.5,1.46,0.262,0.161,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,293,7600.63,8378.44,7972.22,7976.04,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,58.31,0.783,14.03,7.97,0.103,3.57,4.76,0.33,1.3,0.181,0.194,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,295,7708.76,8433.87,8028,8036.5,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.99,0.855,15.11,8.56,0.196,4.53,8.49,0.56,1.03,0.205,0.139,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,297,7774.86,8502.19,8087.55,8096.96,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,53.28,0.882,15.8,8.68,0.117,4.28,5.9,0.59,1.21,0.231,0.173,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,299,7862.69,8573.33,8154.46,8165.22,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.75,0.81,14.41,7.95,0.193,4.24,9.75,0.66,1.01,0.196,0.125,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,301,7940.29,8640.38,8229.9,8241.28,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,51.86,0.899,15.85,8.48,0.127,4.45,6.72,0.62,1.28,0.209,0.098,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,303,7991.1,8756.11,8300.66,8317.33,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,50.69,0.935,16.15,8.7,0.136,4.24,7.31,0.55,1.49,0.23,0.101,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,305,8063.65,8866,8395.89,8410.56,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.75,0.914,15.66,8.27,0.177,4.07,9,0.5,1.46,0.262,0.085,0.05,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,307,8105.97,9018.61,8482.98,8503.79,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,50.25,0.93,16.53,8.79,0.145,4.41,6.86,0.58,1.52,0.238,0.066,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,309,8164.57,9168.22,8567.47,8596.74,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.41,0.917,15.59,8.61,0.172,4.05,8.16,0.52,1.45,0.245,0.059,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,311,8223.29,9284.98,8664.56,8689.43,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,51.29,0.905,15.92,8.55,0.139,4.3,6.96,0.64,1.39,0.221,0.062,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,313,8270.25,9430.08,8758.23,8782.11,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.97,0.874,15.19,8.36,0.196,4.1,8.78,0.5,1.31,0.283,0.046,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,315,8352.6,9509.52,8853.26,8875.4,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.49,0.898,15.42,8.58,0.175,4,8.06,0.48,1.39,0.246,0.072,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-I,319,8458.8,9738.53,9044.88,9061.82,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,49.27,0.923,15.3,8.19,0.16,3.82,8,0.5,1.36,0.271,0.12,0.04,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,321,8526.61,9834.97,9142.91,9154.79,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.9,0.868,15.08,7.96,0.165,3.58,8.65,0.41,1.56,0.211,0.135,0.09,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,323,8576.2,9970.15,9236.77,9247.77,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,45.67,0.958,15.29,8.61,0.183,3.8,9.79,0.64,1.38,0.293,0.07,0.06,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,325,8661.67,10037.79,9339.94,9341.82,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.23,0.874,15.43,8.08,0.188,4.14,8.77,0.45,1.33,0.18,0.032,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,327,8722.32,10127.63,9439.28,9435.87,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,49.34,0.909,15.57,8.49,0.143,4.23,7.36,0.58,1.18,0.248,0.047,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,329,8794.32,10218.35,9538.04,9529.13,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,46.21,0.977,16.64,8.98,0.151,4.28,7.72,0.75,1.16,0.265,0.077,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,331,8863.76,10300.21,9642.57,9621.6,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,46.25,0.934,15.66,8.82,0.179,4.24,8.98,0.71,1.03,0.241,0.07,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,333,8907.32,10410.09,9738.65,9714.06,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,46.77,0.931,15.27,8.94,0.167,4.28,8.66,0.59,1,0.252,0.051,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,335,8990.46,10474.33,9847,9808.54,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,44.06,0.935,15.93,9.01,0.168,4.42,9.61,0.65,0.97,0.306,0.067,0.02,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,337,9050.59,10564.29,9955.08,9903.01,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.015,0.912,14.73,8.505,0.157,3.97,9.58,0.59,0.985,0.248,0.0805,0.035,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,339,9121.78,10649.59,10050.82,9994.03,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,44.27,0.936,15.69,9.15,0.175,4.13,9.78,0.81,1.03,0.222,0.101,0.1,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,341,9192.39,10714.15,10147.92,10081.61,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.62,0.861,15.67,8.66,0.157,4.22,8.46,0.92,0.9,0.216,0.075,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,343,9251.22,10803.29,10240.45,10169.19,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,49.36,0.846,15.48,8.59,0.138,4.11,7.63,0.79,0.94,0.199,0.087,0.01,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,345,9309.57,10841.11,10305.78,10230.79,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,47.17,0.772,16.7,8.3,0.147,3.87,8.43,1.27,0.68,0.161,0.082,0.03,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,347,9362.68,10887.74,10372.95,10292.39,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.38,0.748,15.94,8.44,0.141,3.92,7.93,1.28,0.59,0.144,0.041,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,349,9421.88,10937.55,10430.43,10347.9,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.59,0.829,15.64,7.93,0.171,3.66,8.68,0.92,1.04,0.2,0.195,0.12,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,351,9467.81,10986.25,10480.32,10397.31,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.12,0.865,15.85,7.98,0.156,3.64,8.53,0.83,1.13,0.181,0.063,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,353,9510.21,11051.53,10527.09,10446.73,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,48.44,0.839,16.08,8.21,0.149,3.75,7.97,1.11,1.03,0.192,0.054,NA,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)
YAN,YAN 8B-II,355,9551.94,11092.35,10568.98,10488.28,Glaciomarine ,Unit Y1,YAN GZ 0,Non Guano,43.38,0.745,15.75,8.56,0.185,4,10.51,1.39,0.72,0.16,0.099,0.07,Fildes Peninsula,King George Island,SSI,Roberts et al. (2017)